id,source_id,name,type_name,secteur_chefferie_commune_id
316,333,NGUNU,G,32
317,334,NKWEBE,G,32
318,335,NTUNU,G,32
319,336,SALA,G,32
320,337,SHAMPER,G,32
321,338,EBAN,G,33
322,339,KIKWITI-MBUNDI,G,33
323,340,KIMBINGA,G,33
324,341,KINSOMI,G,33
325,342,MAMPUNGU,G,33
326,343,MAZINGA,G,33
327,344,MIKWAMENE,G,33
328,345,NGANDA,G,33
329,346,NGWEME,G,33
330,347,NKATA,G,33
331,348,TANGO MANGO,G,33
332,349,KILUNDA,G,34
333,350,KILUSU,G,34
334,351,KIMBIE MBOMA,G,34
335,352,KINGOMA GAMPURU,G,34
336,353,LEMFU,G,34
337,354,LOANDA,G,34
338,355,LUKUNGU,G,34
339,356,MUPULU  MUDIKWITI,G,34
340,357,NDUNGA,G,34
341,358,NDUY,G,34
342,359,NZOMBE,G,34
343,360,SONGO,G,34
344,361,BAHUNGANA,G,35
345,362,FUNGULU,G,35
346,363,MANGUNGU,G,35
347,364,MBULU  LUNZIMBU,G,35
348,365,MUDIDIATA,G,35
349,366,MUDIKWITI,G,35
350,367,MUDIMAYUKU,G,35
351,368,MUDIMUZINGA  KABUDI,G,35
352,369,MUDIMUZINGA WATUMBA,G,35
353,370,MUDINGUBU,G,35
354,371,NGULU  ZAMBA,G,35
355,372,BASAMBA  MUDIMAFU,G,36
356,373,KILAMBA,G,36
357,374,MENIKONGO,G,36
358,375,MUDIKASANDJI,G,36
359,376,MUTABA,G,36
360,377,MWILU-MWILU,G,36
361,378,TAKAMBA,G,36
362,379,TAMBANGI,G,36
363,380,TANGANGA,G,36
364,381,TASIMBA,G,36
365,382,BUSHI,G,37
366,383,BWANIANGI,G,37
367,384,KIBONGO  MUYEKE,G,37
368,385,KIBONGO BULUNGU,G,37
369,386,KIMBATA,G,37
370,387,KIMPANDA,G,37
371,388,LONGO  MUBINI,G,37
372,389,LUNDU,G,37
373,390,MADIBI MAWAWA,G,37
374,391,MAYOKO  KWILU,G,37
375,392,MAYOKO  LUTUNDU,G,37
376,393,MBELO  LUMEYA,G,37
377,394,MILUNDU  KITAMBALA,G,37
378,395,MOSHIA,G,37
379,396,MUKILU  MAKUKU,G,37
380,397,MUYELE  TANGO,G,37
381,398,NGANGA  MANDUNDU,G,37
382,399,PUKULU,G,37
383,400,KASAMBAZA,G,38
384,401,KIKONGO  KINZAMBI,G,38
385,402,KIKONGO  TASAMBA,G,38
386,403,KINGOMA  MIWANDJI,G,38
387,404,KISALA  SONGO,G,38
388,405,KUMBI  MASI  DE KIALU,G,38
389,406,KUMBI  MASI KIK,G,38
390,407,MADIKATAMBI,G,38
391,408,MADINGOMBEDE TATU,G,38
392,409,MUDIKUNGA,G,38
393,410,MUDIMBIMBI  KIK,G,38
394,411,MUDIMBIMBI KIP,G,38
395,412,MUDINDAMBI,G,38
396,413,MUDIWAMBA,G,38
397,414,MUMANU  DE  KUNGA,G,38
398,415,NGONGO  KISUMA,G,38
399,416,PUTU  BUMA,G,38
400,417,BILILI  MANDONDO,G,39
401,419,KABALA,G,39
402,420,KIMWANZA,G,39
403,421,KINGANGA LWANO,G,39
404,422,LUBEMBO,G,39
405,423,LUZUBI,G,39
406,424,MALU,G,39
407,425,MBELO NDUMBU,G,39
408,426,MPATA,G,39
409,429,NKWASA,G,39
410,430,EKUBI,G,40
411,431,KIAKIA,G,40
412,432,KIKANDJI,G,40
413,433,KIKONGO  MITSHIAKILA,G,40
414,434,LONGO  KUMA- KUMA,G,40
415,435,MATAMANKO,G,40
416,436,MITSHIAKILA,G,40
417,437,MPENE,G,40
418,438,MUSENGE,G,40
419,439,NDWIY,G,40
420,440,NIADI,G,40
421,441,NSIAMBELE,G,40
422,442,NTANDU,G,40
423,443,YAMBAU,G,40
424,444,BASUKU,G,41
425,445,BIONGO,G,41
426,446,KISHIONGO,G,41
427,447,MBANZA,G,41
428,448,MBONGO  KAKESA,G,41
429,449,NGANDU  NGALA,G,41
430,450,KANGU,G,42
431,451,KANZONGO,G,42
432,452,KUNGA KIHANGA,G,42
